,filename,CA1,CA1.1,CA1.2,CA1.3,CA1.4,CA1.5,CA1.6,CA1.7,CA2,ORG1,ORG2,ORG2.2,ORG2.3,ORG2.4,ORG2.5,ORG3,VOC1,VOC2,VOC3,GR1,GR2,GR3,UNIQ_WORDS,OR_ERR,CLQ_WORDS,CLC_ERRORS,prop_a1,prop_a2,prop_b1,prop_b2,prop_c1,prop_c2,text
0,772.txt,0,1,1,0,1,0,1,1,0,0,0,1,1,1,1,0,1,1.0,0,0,0,0,0.4234234234234234,0,0,61,0.3617021276595745,0.2978723404255319,0.1170212765957446,0.1914893617021276,0.0319148936170212,0.0,"To; google_recruitment@google.com
Subject: Application for Project Manager Position at Google
Dear Hiring Manager,

I am writing to express my interest in the Data Scientist position at XYZ Tech Solutions. With my background as a software engineer and my current role as a data scientist, I believe I have the skills and qualifications necessary to excel in this role.

Throughout my career, I have worked on distributed teams across different geographies, allowing me to effectively collaborate and communicate with colleagues from diverse backgrounds. My experience as a software engineer has provided me with a strong foundation in programming and problem-solving, while my industry experience as a data scientist has honed my skills in data analysis and machine learning.

I am proficient in using gyros and accelerometers for data analysis and have a deep understanding of deepfake technology. Additionally, I have hands-on experience with deep learning frameworks such as PyTorch and TensorFlow, and I am constantly seeking innovative opportunities for deep learning and computer vision.

With my advanced degree in a mathematical field and my research and engineering experience in machine learning applications, I am confident in my ability to provide expert input on the architecture of learning systems.

Thank you for considering my application. I am excited about the opportunity to contribute to XYZ Tech Solutions and further develop my skills as a data scientist. I look forward to discussing how my qualifications align with your company's goals.

Sincerely,
John Smith"
1,481.txt,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0.5,0,0,0,0,0.4761904761904761,2,0,11,0.7,0.0666666666666666,0.1333333333333333,0.1,0.0,0.0,"To; google_recruitment@google.com
Subject: Application for Project Manager Position at Google
I am a highly motivated Data Scientist with a PhD in Computer Science. I have over five years of experience in the field and have worked at both Microsoft and Apple. I am proficient in Python, R, SQL, and have a strong understanding of machine learning algorithms. I am confident that my skills and experience make me an excellent candidate for this position."
2,672.txt,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0.0,0,0,0,0,0.4722222222222222,3,0,19,0.5294117647058824,0.1176470588235294,0.088235294117647,0.2352941176470588,0.0294117647058823,0.0,"To; google_recruitment@google.com
Subject: Application for Project Manager Position at Google
I am a highly skilled Machine Learning Engineer with over 5 years of experience. I have worked at Netflix and Amazon, where I have developed and implemented machine learning models. I am proficient in Python, TensorFlow, and Keras. I believe that my strong technical skills and experience make me an excellent fit for the Senior Machine Learning Engineer position at Oracle. I am eager to contribute my skills and expertise to your team."
3,479.txt,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1.0,0,0,0,0,0.5454545454545454,0,0,16,0.6333333333333333,0.1333333333333333,0.1666666666666666,0.0666666666666666,0.0,0.0,"To; google_recruitment@google.com
Subject: Application for Project Manager Position at Google
I am a skilled Machine Learning Engineer with a Master's degree in Statistics. I have previous experience as a Software Engineer at Facebook and am currently working at IBM. My skillset includes Python, Tensorflow, Keras, and machine learning. I am excited about this opportunity and believe I would be a great fit for your team."
4,624.txt,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0.5,0,0,0,0,0.5194805194805194,2,0,21,0.4,0.25,0.125,0.225,0.0,0.0,"To; google_recruitment@google.com
Subject: Application for Project Manager Position at Google
I am writing to express my interest in the Senior Support Engineer position at OPQ Corp. With over 7 years of experience in IT Support, I have developed a strong skill set that includes Linux and problem solving. I have a proven track record of managing complex IT projects and exceeding expectations. I am excited about the opportunity to contribute to your team and look forward to the opportunity to discuss how my skills and experiences fit your needs."
5,536.txt,0,1,1,0,1,0,1,1,0,0,0,1,1,1,1,0,1,0.5,0,0,0,0,0.4460093896713615,1,0,69,0.4210526315789473,0.1894736842105263,0.1157894736842105,0.2421052631578947,0.031578947368421,0.0,"To; google_recruitment@google.com
Subject: Application for Project Manager Position at Google
Dear Hiring Manager,

I am writing to express my interest in the Data Scientist position at DataTech Solutions. With a strong background in data analysis and machine learning, I believe I am well-suited for this role.

In my current position as a Data Scientist at DEF Corp, I have gained extensive experience in consuming and building APIs using Python. I have also worked with complex SQL queries using PostgreSQL, enabling me to extract valuable insights from large datasets. Additionally, I have expertise in building and configuring production-ready data/compute intensive applications, primarily using Python.

My past experience as a Data Analyst at XYZ Corp and a Data Engineer at ABC Corp has provided me with a solid foundation in data analysis and engineering. I have honed my programming skills in Python and developed a strong understanding of machine learning algorithms.

Beyond my technical skills, I possess strong analytical abilities and problem-solving skills. I am a team player and have excellent communication skills, allowing me to effectively collaborate with cross-functional teams.

I hold a Bachelor's degree in Computer Science and a Master's degree in Data Science, which have equipped me with the necessary knowledge and skills to excel in this role.

Thank you for considering my application. I look forward to the opportunity to contribute to DataTech Solutions' success as a Data Scientist.

Sincerely,
John Smith"
6,572.txt,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1.0,0,0,0,0,0.4642857142857143,0,0,15,0.6538461538461539,0.1153846153846153,0.1538461538461538,0.0769230769230769,0.0,0.0,"To; google_recruitment@google.com
Subject: Application for Project Manager Position at Google
I am very interested in the Machine Learning Engineer position at Facebook. My experience at Facebook and Google has given me a deep understanding of machine learning and AI. I am proficient in Python and Java and have a strong background in deep learning. I believe my qualifications make me an excellent candidate for this position."
7,415.txt,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0.5,0,0,0,0,0.4835164835164835,1,0,29,0.4545454545454545,0.1590909090909091,0.2045454545454545,0.1818181818181818,0.0,0.0,"To; google_recruitment@google.com
Subject: Application for Project Manager Position at Google
I am writing to express my interest in the Senior Java Developer position at Tech Solutions. With over 8 years of experience in the field, I have honed my abilities in Java, Spring Boot, Hibernate, and SQL. I am currently working as a Senior Developer at ABC Tech, where I have successfully delivered numerous projects. I believe that my technical skills, combined with my passion for coding, make me a strong candidate for this role. I am excited about the opportunity to work with a dynamic team and contribute to innovative projects."
8,509.txt,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1.0,0,0,0,0,0.5324675324675324,0,0,26,0.5609756097560976,0.1463414634146341,0.1219512195121951,0.1707317073170731,0.0,0.0,"To; google_recruitment@google.com
Subject: Application for Project Manager Position at Google
I am applying for the Senior Data Scientist role at JKL Corp. I have over five years of experience as a data scientist and a PhD in Data Science. I am skilled in Python, R, SQL, and Hadoop. My current role at JKL Corp involves leading a team of data scientists and delivering data-driven solutions to complex business problems. My strong analytical skills, leadership abilities, and passion for data science make me an excellent candidate for this role."
9,116.txt,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1.0,0,0,0,0,0.4545454545454545,0,0,15,0.64,0.12,0.16,0.08,0.0,0.0,"To; google_recruitment@google.com
Subject: Application for Project Manager Position at Google
I am very interested in the AI Engineer position at Amazon. My experience at Microsoft and Google has given me a deep understanding of AI and machine learning. I am proficient in Python and Java and have a strong background in deep learning. I believe my qualifications make me an excellent candidate for this position."
